country,degree_raw,closeness_raw,betweenness_raw,eigenvector_raw,pagerank_raw,degree_norm,closeness_norm,betweenness_norm,eigenvector_norm,pagerank_norm,composite_score,rank,is_hub,is_broker,role
United Kingdom,30,0.003663003663003663,2436.8327445973346,0.2950629614105553,0.02616360397325775,0.9666666666666667,0.002700359222098353,1,0.2950629614105553,1,0.6528859974598641,1,FALSE,FALSE,Influential
Chile,26,0.0033003300330033004,899.8361431199346,1,0.02276118610962043,0.8333333333333334,0.002337335182793642,0.36926463053935393,1,0.8614597007887081,0.6132789999688377,2,TRUE,FALSE,Hub
Turkey,31,0.0035335689045936395,1665.6670810002279,0.21552539148430774,0.021899547313771823,1,0.002570799405950735,0.6835377129157318,0.21552539148430774,0.826375328035824,0.5456018463683628,3,FALSE,FALSE,Influential
Mexico,19,0.0028735632183908046,226.50316151274504,0.9848827771860567,0.018341521638203014,0.6,0.0019101560330945639,0.0929498185769712,0.9848827771860567,0.6814989602731061,0.4722483424138456,4,FALSE,FALSE,Peripheral
Peru,19,0.0029154518950437317,388.2834227709415,0.8024252444379075,0.015029950802518885,0.6,0.0019520851818988466,0.1593393816755782,0.8024252444379075,0.5466577876651635,0.42207489979210966,5,FALSE,FALSE,Peripheral
Jordan,21,0.003076923076923077,597.2790490394585,0.21096819391732047,0.024333585687582912,0.6666666666666666,0.00211371237458194,0.2451046549516691,0.21096819391732047,0.9254849665677183,0.4100676388955913,6,FALSE,FALSE,Peripheral
Cuba,13,0.002398081534772182,12.58582197589008,0.9497640535547476,0.014179891133072033,0.4,0.001434214946883073,0.005164827993958107,0.9497640535547476,0.5120448959885602,0.3736815984968298,7,FALSE,FALSE,Peripheral
Argentina,13,0.0022471910112359553,16.0803157626687,0.9076541906483623,0.013013863393779591,0.4,0.0012831786354014006,0.006598859030567497,0.9076541906483623,0.46456635620757436,0.35602051690438113,8,FALSE,FALSE,Peripheral
Panama,17,0.002840909090909091,426.90922792229486,0.5091990814389419,0.01383925707514606,0.5333333333333333,0.0018774703557312255,0.17519020493662887,0.5091990814389419,0.49817489347917665,0.34355499670876244,9,FALSE,FALSE,Peripheral
Canada,16,0.0031446540880503146,575.4733381692059,0.40083792383429506,0.014276451304398766,0.5,0.002181508826299639,0.23615627270483758,0.40083792383429506,0.5159766514529516,0.33103047136367675,10,FALSE,FALSE,Peripheral
Colombia,14,0.0027100271002710027,172.7389341770755,0.6747235609868032,0.01222540214324764,0.43333333333333335,0.001746461909063535,0.07088665997288997,0.6747235609868032,0.43246164069552057,0.32263033137952213,11,FALSE,FALSE,Peripheral
China,16,0.002857142857142857,553.9760712021498,0.26915001402117283,0.015603757231582001,0.5,0.0018937198067632852,0.22733446619607434,0.26915001402117283,0.5700221472346796,0.313680069451738,12,FALSE,FALSE,Peripheral
Australia,15,0.003067484662576687,629.7776006209751,0.2832591627251618,0.015281464441147263,0.4666666666666667,0.0021042648409946357,0.25844104484283775,0.2832591627251618,0.5568989679515983,0.31347402140545183,13,FALSE,FALSE,Peripheral
Israel,18,0.003194888178913738,554.5907902444085,0.2769583840025448,0.013570073582913818,0.5666666666666667,0.002231791452516553,0.22758672767919072,0.2769583840025448,0.48721422872510445,0.3121315597052046,14,FALSE,FALSE,Peripheral
Brazil,11,0.0024509803921568627,148.42166421170992,0.7174889089918522,0.011289755923256636,0.3333333333333333,0.0014871649142748887,0.06090761236723094,0.7174889089918522,0.39436381953757094,0.3015161678288525,15,FALSE,FALSE,Peripheral
Venezuela,14,0.002506265664160401,83.34729216239667,0.5923796307086422,0.01112020318836894,0.43333333333333335,0.0015425036020001695,0.0342031238488504,0.5923796307086422,0.3874599389547425,0.2897837060895137,16,FALSE,FALSE,Peripheral
United States,15,0.003003003003003003,529.3001357442196,0.3019623975179841,0.0125927302566476,0.4666666666666667,0.0020397208803005907,0.2172082334816466,0.3019623975179841,0.44741857684467035,0.28705911907825366,17,FALSE,FALSE,Peripheral
Japan,15,0.0030581039755351682,527.7048158060475,0.24162027051614943,0.014004408177160744,0.4666666666666667,0.002094875090487376,0.21655356403758688,0.24162027051614943,0.5048995475355509,0.2863669847692883,18,FALSE,FALSE,Peripheral
South Korea,16,0.003257328990228013,458.69803045097456,0.29463176546681474,0.012378343732522563,0.5,0.002294292593117122,0.18823533599831466,0.29463176546681474,0.43868914548452587,0.28477010790855445,19,FALSE,FALSE,Peripheral
Tunisia,15,0.002890173410404624,783.8463002607775,0.07464806064924152,0.015253367077592178,0.4666666666666667,0.0019267822736030828,0.3216660240628461,0.07464806064924151,0.5557548941458581,0.2841324855596431,20,FALSE,FALSE,Peripheral
